date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51171709933,100130.51171709933,0.0
2004-10-27,100056.36473870018,100130.51171709933,-0.07405033403667974
2004-10-27,100184.11764211592,100184.11764211592,0.0
2004-11-01,100293.71243659606,100293.71243659606,0.0
2004-11-03,100436.70498923949,100436.70498923949,0.0
2004-11-04,101477.42989113354,101477.42989113354,0.0
2004-11-04,101983.72410092849,101983.72410092849,0.0
2004-11-05,102001.41026249038,102001.41026249038,0.0
2004-11-05,102180.75787637908,102180.75787637908,0.0
2004-11-05,102424.45555840917,102424.45555840917,0.0
2004-11-08,102614.59061143872,102614.59061143872,0.0
2004-11-09,102950.85965410476,102950.85965410476,0.0
2004-11-11,103132.95570465097,103132.95570465097,0.0
2004-11-15,103412.69370386336,103412.69370386336,0.0
2004-11-17,105036.05939751756,105036.05939751756,0.0
2004-11-19,104919.16460356773,105036.05939751756,-0.11129015560973606
2004-11-22,105169.58167193347,105169.58167193347,0.0
2004-11-24,105394.12158402779,105394.12158402779,0.0
2004-11-24,107359.6355046579,107359.6355046579,0.0
2004-11-24,107605.31193745146,107605.31193745146,0.0
2004-11-24,107783.22185320324,107783.22185320324,0.0
2004-11-24,108179.90161656421,108179.90161656421,0.0
2004-11-24,108461.46534566385,108461.46534566385,0.0
2004-11-24,109024.5542708655,109024.5542708655,0.0
2004-11-24,109379.31029612762,109379.31029612762,0.0
2004-11-24,109343.63630456614,109379.31029612762,-0.03261493555306992
2004-11-24,109152.3488888833,109379.31029612762,-0.20749939511399265
2004-11-24,109563.25791249065,109563.25791249065,0.0
2004-11-26,109792.10542956866,109792.10542956866,0.0
2004-11-26,110117.32195830943,110117.32195830943,0.0
2004-11-26,110074.94370854927,110117.32195830943,-0.03848463530216313
2004-11-26,110270.61268007687,110270.61268007687,0.0
2004-11-26,110140.03246777187,110270.61268007687,-0.11841796207647888
2004-11-26,110373.04217310366,110373.04217310366,0.0
