ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,535.667363488485,5.3567,83.02842090662689,3.0185220869927196,6,profit_target,2,5,97686.08492149992
HOG,2004-10-19,2004-10-27,36.15903010267586,36.71674728393555,80.9781591680777,0.8098,44.35312908313806,1.5424008323121967,8,time_stop,2,5,97730.43805058306
LPX,2004-10-19,2004-10-27,19.536423748150106,19.06357765197754,149.87859255945233,1.4988,-72.36829331717036,-2.42033087666488,8,time_stop,3,4,97658.0697572659
TTC,2004-10-19,2004-10-27,6.161875986867328,6.434274196624756,475.1948434629935,4.7519,124.69027621065086,4.420702564251287,8,time_stop,2,5,97782.76003347654
MKC,2004-10-28,2004-11-01,11.01943566393958,11.431258201599121,266.209894087765,2.6621,106.96913519242332,3.7372380058191594,4,profit_target,2,5,97889.72916866897
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,50.28827658864508,0.7,125.52348983029664,4.780949183872768,2,profit_target,3,4,98015.25265849927
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,499.15443714405177,4.9915,1015.7793176706066,11.586402948966374,2,profit_target,3,4,99031.03197616988
OII,2004-11-02,2004-11-04,7.701696926298419,8.143686294555664,1143.9135698909533,11.4391,494.15850039808237,5.738856936164496,2,profit_target,3,4,99525.19047656796
MUR,2004-10-28,2004-11-05,18.6832438836169,18.80318832397461,157.0114279553258,1.5701,17.262533576313146,0.641989373498932,8,time_stop,3,4,99542.45301014428
XRAY,2004-11-02,2004-11-05,21.184849020847516,21.615774154663086,415.8668120084508,4.1587,175.04879349411183,2.034119447306455,3,profit_target,3,4,99717.50180363838
SPGI,2004-11-03,2004-11-05,29.53322044865284,30.34053611755371,328.14176850599057,3.2814,261.6325736506683,2.7335849481924535,2,profit_target,3,4,99979.13437728905
