date,equity,peak,dd
2004-10-25,100083.02841224667,100083.02841224667,0.0
2004-10-27,100127.38217606534,100127.38217606534,0.0
2004-10-27,100055.01360715064,100127.38217606534,-0.07227650153425683
2004-10-27,100179.70547471037,100179.70547471037,0.0
2004-11-01,100286.67409550985,100286.67409550985,0.0
2004-11-03,100426.22240572749,100426.22240572749,0.0
2004-11-04,101442.00163257367,101442.00163257367,0.0
2004-11-04,101936.1613047359,101936.1613047359,0.0
2004-11-05,101953.42140034241,101953.42140034241,0.0
2004-11-05,102128.4765637566,102128.4765637566,0.0
2004-11-05,102366.3289176637,102366.3289176637,0.0
2004-11-08,102551.91127819862,102551.91127819862,0.0
2004-11-09,102880.12011374197,102880.12011374197,0.0
2004-11-11,103057.85214296382,103057.85214296382,0.0
2004-11-15,103330.88775261298,103330.88775261298,0.0
2004-11-17,104915.33824666358,104915.33824666358,0.0
2004-11-19,104801.24716142958,104915.33824666358,-0.1087458584613869
2004-11-22,105045.66182687071,105045.66182687071,0.0
2004-11-24,105264.82969443746,105264.82969443746,0.0
2004-11-24,107183.23101922424,107183.23101922424,0.0
2004-11-24,107423.01429805555,107423.01429805555,0.0
2004-11-24,107596.65721904201,107596.65721904201,0.0
2004-11-24,107983.82729919242,107983.82729919242,0.0
2004-11-24,108258.63356464585,108258.63356464585,0.0
2004-11-24,108808.2247611972,108808.2247611972,0.0
2004-11-24,109154.47739131989,109154.47739131989,0.0
2004-11-24,109119.65794566635,109154.47739131989,-0.03189923719639461
2004-11-24,108932.95356410994,109154.47739131989,-0.2029452501666855
2004-11-24,109334.01519323296,109334.01519323296,0.0
2004-11-26,109557.37825856914,109557.37825856914,0.0
2004-11-26,109874.80345689638,109874.80345689638,0.0
2004-11-26,109833.43768810762,109874.80345689638,-0.03764809354584052
2004-11-26,110024.41526930495,110024.41526930495,0.0
2004-11-26,109896.96176559031,110024.41526930495,-0.11584110981428596
2004-11-26,110124.37881159756,110124.37881159756,0.0
2004-11-26,110130.25667695087,110130.25667695087,0.0
2004-11-29,110162.98507720449,110162.98507720449,0.0
2004-11-29,110164.4295629974,110164.4295629974,0.0
2004-11-29,109883.08378750857,110164.4295629974,-0.2553871304965411
2004-11-29,109687.96038967249,110164.4295629974,-0.43250727591017685
2004-11-29,109647.80850632637,110164.4295629974,-0.46895450620528323
2004-11-29,109897.94237251801,110164.4295629974,-0.24189948746295933
2004-11-30,110499.83691879906,110499.83691879906,0.0
2004-11-30,110581.62980467729,110581.62980467729,0.0
2004-11-30,109853.02997867764,110581.62980467729,-0.6588796233936711
2004-11-30,109578.23466230831,110581.62980467729,-0.907379592922704
2004-12-01,109856.04145914766,110581.62980467729,-0.6561563134955148
2004-12-02,110102.54666674044,110581.62980467729,-0.43323935339265784
2004-12-02,110380.44501248866,110581.62980467729,-0.18193328543265186
2004-12-02,110741.04889633175,110741.04889633175,0.0
2004-12-02,110808.32031830876,110808.32031830876,0.0
2004-12-06,111021.47428756118,111021.47428756118,0.0
